Ref_Date,GEO,Geographical classification,INDEX,Vector,Coordinate,Value
1993/10,Canada,,Total (house and land),v53600422,1.1,67.0
1993/11,Canada,,Total (house and land),v53600422,1.1,67.0
1993/12,Canada,,Total (house and land),v53600422,1.1,66.9
1994/01,Canada,,Total (house and land),v53600422,1.1,67.0
1994/02,Canada,,Total (house and land),v53600422,1.1,66.9
1994/03,Canada,,Total (house and land),v53600422,1.1,66.9
1994/04,Canada,,Total (house and land),v53600422,1.1,66.9
1994/05,Canada,,Total (house and land),v53600422,1.1,66.9
1994/06,Canada,,Total (house and land),v53600422,1.1,67.0
1994/07,Canada,,Total (house and land),v53600422,1.1,66.9
1994/08,Canada,,Total (house and land),v53600422,1.1,67.0
1994/09,Canada,,Total (house and land),v53600422,1.1,67.0
1994/10,Canada,,Total (house and land),v53600422,1.1,66.9
1994/11,Canada,,Total (house and land),v53600422,1.1,66.8
1994/12,Canada,,Total (house and land),v53600422,1.1,66.7
1995/01,Canada,,Total (house and land),v53600422,1.1,66.7
1995/02,Canada,,Total (house and land),v53600422,1.1,66.6
1995/03,Canada,,Total (house and land),v53600422,1.1,66.5
1995/04,Canada,,Total (house and land),v53600422,1.1,66.5
1995/05,Canada,,Total (house and land),v53600422,1.1,66.3
1995/06,Canada,,Total (house and land),v53600422,1.1,66.1
1995/07,Canada,,Total (house and land),v53600422,1.1,66.1
1995/08,Canada,,Total (house and land),v53600422,1.1,66.1
1995/09,Canada,,Total (house and land),v53600422,1.1,66.0
1995/10,Canada,,Total (house and land),v53600422,1.1,65.7
1995/11,Canada,,Total (house and land),v53600422,1.1,65.4
1995/12,Canada,,Total (house and land),v53600422,1.1,65.5
1996/01,Canada,,Total (house and land),v53600422,1.1,65.4
1996/02,Canada,,Total (house and land),v53600422,1.1,65.2
1996/03,Canada,,Total (house and land),v53600422,1.1,65.0
1996/04,Canada,,Total (house and land),v53600422,1.1,64.8
1996/05,Canada,,Total (house and land),v53600422,1.1,64.7
1996/06,Canada,,Total (house and land),v53600422,1.1,64.8
1996/07,Canada,,Total (house and land),v53600422,1.1,64.7
1996/08,Canada,,Total (house and land),v53600422,1.1,64.7
1996/09,Canada,,Total (house and land),v53600422,1.1,64.7
1996/10,Canada,,Total (house and land),v53600422,1.1,64.7
1996/11,Canada,,Total (house and land),v53600422,1.1,64.9
1996/12,Canada,,Total (house and land),v53600422,1.1,64.9
1997/01,Canada,,Total (house and land),v53600422,1.1,65.0
1997/02,Canada,,Total (house and land),v53600422,1.1,65.2
1997/03,Canada,,Total (house and land),v53600422,1.1,65.2
1997/04,Canada,,Total (house and land),v53600422,1.1,65.3
1997/05,Canada,,Total (house and land),v53600422,1.1,65.3
1997/06,Canada,,Total (house and land),v53600422,1.1,65.3
1997/07,Canada,,Total (house and land),v53600422,1.1,65.4
1997/08,Canada,,Total (house and land),v53600422,1.1,65.4
1997/09,Canada,,Total (house and land),v53600422,1.1,65.4
1997/10,Canada,,Total (house and land),v53600422,1.1,65.4
1997/11,Canada,,Total (house and land),v53600422,1.1,65.6
1997/12,Canada,,Total (house and land),v53600422,1.1,65.7
1998/01,Canada,,Total (house and land),v53600422,1.1,65.8
1998/02,Canada,,Total (house and land),v53600422,1.1,65.8
1998/03,Canada,,Total (house and land),v53600422,1.1,65.9
1998/04,Canada,,Total (house and land),v53600422,1.1,65.9
1998/05,Canada,,Total (house and land),v53600422,1.1,65.9
1998/06,Canada,,Total (house and land),v53600422,1.1,66.0
1998/07,Canada,,Total (house and land),v53600422,1.1,66.1
1998/08,Canada,,Total (house and land),v53600422,1.1,66.1
1998/09,Canada,,Total (house and land),v53600422,1.1,66.0
1998/10,Canada,,Total (house and land),v53600422,1.1,66.1
1998/11,Canada,,Total (house and land),v53600422,1.1,66.1
1998/12,Canada,,Total (house and land),v53600422,1.1,66.1
1999/01,Canada,,Total (house and land),v53600422,1.1,66.1
1999/02,Canada,,Total (house and land),v53600422,1.1,66.1
1999/03,Canada,,Total (house and land),v53600422,1.1,66.3
1999/04,Canada,,Total (house and land),v53600422,1.1,66.3
1999/05,Canada,,Total (house and land),v53600422,1.1,66.3
1999/06,Canada,,Total (house and land),v53600422,1.1,66.3
1999/07,Canada,,Total (house and land),v53600422,1.1,66.5
1999/08,Canada,,Total (house and land),v53600422,1.1,66.7
1999/09,Canada,,Total (house and land),v53600422,1.1,66.8
1999/10,Canada,,Total (house and land),v53600422,1.1,66.9
1999/11,Canada,,Total (house and land),v53600422,1.1,67.1
1999/12,Canada,,Total (house and land),v53600422,1.1,67.3
2000/01,Canada,,Total (house and land),v53600422,1.1,67.3
2000/02,Canada,,Total (house and land),v53600422,1.1,67.5
2000/03,Canada,,Total (house and land),v53600422,1.1,67.6
2000/04,Canada,,Total (house and land),v53600422,1.1,67.7
2000/05,Canada,,Total (house and land),v53600422,1.1,67.9
2000/06,Canada,,Total (house and land),v53600422,1.1,67.9
2000/07,Canada,,Total (house and land),v53600422,1.1,68.1
2000/08,Canada,,Total (house and land),v53600422,1.1,68.2
2000/09,Canada,,Total (house and land),v53600422,1.1,68.4
2000/10,Canada,,Total (house and land),v53600422,1.1,68.5
2000/11,Canada,,Total (house and land),v53600422,1.1,68.8
2000/12,Canada,,Total (house and land),v53600422,1.1,68.8
2001/01,Canada,,Total (house and land),v53600422,1.1,69.0
2001/02,Canada,,Total (house and land),v53600422,1.1,69.2
2001/03,Canada,,Total (house and land),v53600422,1.1,69.4
2001/04,Canada,,Total (house and land),v53600422,1.1,69.6
2001/05,Canada,,Total (house and land),v53600422,1.1,69.7
2001/06,Canada,,Total (house and land),v53600422,1.1,69.9
